Investor_Id,first,IT,early,year
14146-57,1,0,1,1992
16436-44,1,0,0,1992
179240-41,0,0,0,1992
183990-70,1,1,0,1992
228542-59,1,0,1,1992
25121-17,1,0,0,1992
41016-79,0,0,1,1992
41762-98,0,0,0,1992
42202-18,1,1,1,1992
42365-62,0,0,0,1992
42739-75,0,0,0,1992
51050-17,1,0,0,1992
51106-87,1,0,1,1992
51106-96,0,0,1,1992
51216-04,0,1,1,1992
51669-64,1,0,1,1992
52116-76,1,0,1,1992
52225-66,0,0,0,1992
52244-38,1,1,1,1992
52385-59,0,0,0,1992
52386-40,0,0,0,1992
52758-10,0,0,1,1992
52765-57,0,1,1,1992
53450-56,0,0,0,1992
53991-55,1,1,1,1992
55763-56,1,1,0,1992
55787-23,1,1,0,1992
56226-79,1,0,0,1992
56255-86,1,0,0,1992
56503-00,1,0,0,1992
57314-80,1,0,1,1992
58463-56,1,0,1,1992
58910-86,1,0,0,1992
62013-97,1,1,0,1992
63967-15,0,1,0,1992
85493-26,1,1,1,1992
98013-52,1,0,1,1992
98783-56,1,1,0,1992
10052-20,1,1,1,1993
10068-04,0,0,0,1993
10070-83,0,1,0,1993
10077-85,1,1,0,1993
10133-20,0,0,1,1993
10134-73,1,0,1,1993
10135-81,1,1,0,1993
10139-41,0,1,0,1993
10181-17,0,0,1,1993
10241-02,0,0,1,1993
10367-47,1,0,1,1993
10401-94,0,0,1,1993
10420-66,1,0,1,1993
10446-40,1,0,0,1993
10458-73,1,1,1,1993
10754-47,1,0,0,1993
107903-44,0,0,1,1993
10985-23,1,0,0,1993
11106-82,0,0,1,1993
11108-89,0,0,0,1993
11110-33,0,0,1,1993
11110-42,1,0,0,1993
11110-69,1,1,1,1993
11111-68,1,1,0,1993
11111-86,0,0,1,1993
11115-19,1,0,1,1993
11115-28,1,1,0,1993
11118-79,0,1,1,1993
11120-59,1,0,1,1993
11121-76,1,0,1,1993
11121-85,1,1,0,1993
11122-12,1,0,1,1993
11122-30,1,1,1,1993
11123-38,0,1,0,1993
11124-46,0,0,0,1993
11127-79,1,0,1,1993
11127-88,0,0,0,1993
11132-38,0,0,0,1993
11135-71,1,0,0,1993
11142-73,1,1,1,1993
11145-52,1,0,1,1993
11153-98,1,0,1,1993
11162-08,0,0,1,1993
11166-58,0,1,1,1993
11168-92,1,0,1,1993
11169-91,1,0,1,1993
11173-60,0,0,0,1993
11174-14,1,0,0,1993
11177-02,0,0,0,1993
11177-20,0,0,0,1993
11179-99,0,0,1,1993
11184-40,0,0,0,1993
11184-49,1,0,1,1993
11184-67,0,1,0,1993
11191-96,1,0,0,1993
11192-41,1,0,0,1993
11192-68,0,0,1,1993
11193-13,1,1,0,1993
11194-12,0,0,1,1993
11201-59,1,0,0,1993
11201-77,1,0,1,1993
11207-89,1,0,0,1993
11208-79,1,0,1,1993
11211-40,1,1,1,1993
11211-94,0,1,1,1993
11212-21,0,1,0,1993
11219-23,1,1,1,1993
11220-04,1,0,1,1993
11220-22,1,0,0,1993
11224-99,1,0,1,1993
11228-32,1,0,0,1993
11228-50,1,0,1,1993
11234-26,1,0,1,1993
11237-14,1,1,0,1993
11237-50,0,1,0,1993
11237-95,1,0,1,1993
11242-18,0,0,1,1993
11242-54,0,1,0,1993
11248-21,0,1,1,1993
11251-81,1,0,1,1993
11256-76,1,1,0,1993
11258-83,1,0,0,1993
11259-64,1,1,0,1993
11261-35,1,1,1,1993
11261-71,0,1,0,1993
11262-52,1,0,1,1993
11262-88,1,0,1,1993
11265-13,1,0,1,1993
11274-04,1,1,1,1993
11275-75,0,1,1,1993
11278-45,0,0,0,1993
11281-24,1,1,0,1993
11295-73,1,1,1,1993
11295-91,1,1,1,1993
11304-28,0,0,0,1993
11308-51,0,0,1,1993
11308-69,1,1,1,1993
11312-29,1,0,1,1993
11318-77,0,0,0,1993
11322-28,0,0,1,1993
11324-26,0,1,0,1993
11326-33,1,0,1,1993
11326-69,0,0,1,1993
11327-32,1,0,1,1993
11328-13,1,1,0,1993
11328-49,1,1,1,1993
11330-02,0,1,0,1993
11336-05,1,0,1,1993
11337-76,0,0,0,1993
11339-74,1,1,1,1993
11605-96,0,0,0,1993
11852-02,1,0,1,1993
11867-23,0,1,0,1993
14146-57,1,0,1,1993
16436-44,1,0,0,1993
179240-41,0,0,0,1993
183990-70,1,1,0,1993
228542-59,1,0,1,1993
25121-17,1,0,0,1993
40668-76,0,0,1,1993
41016-79,0,0,1,1993
41762-98,0,0,0,1993
42202-18,1,1,1,1993
42365-62,0,0,0,1993
42739-75,0,0,0,1993
44459-02,1,0,1,1993
51050-17,1,0,0,1993
51077-44,1,0,1,1993
51106-87,1,0,1,1993
51106-96,0,0,1,1993
51216-04,0,1,1,1993
51669-64,1,0,1,1993
51702-67,1,0,1,1993
51747-13,1,0,1,1993
52116-76,1,0,1,1993
52166-62,1,0,1,1993
52225-66,0,0,0,1993
52244-38,1,1,1,1993
52291-90,1,0,0,1993
52385-59,0,0,0,1993
52386-40,0,0,0,1993
52758-10,0,0,1,1993
52765-57,0,0,0,1993
53450-56,0,0,0,1993
53991-55,1,1,1,1993
55763-56,1,1,0,1993
55787-23,1,1,0,1993
56226-79,1,0,0,1993
56255-86,1,0,0,1993
56503-00,1,0,0,1993
57314-80,1,0,1,1993
58463-56,1,0,1,1993
58910-86,1,0,0,1993
62013-97,1,1,0,1993
63967-15,0,1,1,1993
85493-26,1,1,1,1993
98013-52,1,0,1,1993
98783-56,1,1,0,1993
10022-14,0,0,0,1994
10052-20,1,1,1,1994
10068-04,0,0,0,1994
10070-83,0,1,0,1994
10077-85,1,1,0,1994
10133-20,0,0,1,1994
10134-73,1,0,1,1994
10135-81,1,1,0,1994
10139-41,0,1,0,1994
10181-17,1,1,1,1994
10195-75,1,0,0,1994
10241-02,0,0,1,1994
10367-47,1,0,1,1994
10401-94,0,0,1,1994
10420-66,1,0,1,1994
10446-40,1,0,0,1994
10458-73,1,1,1,1994
10639-63,1,0,1,1994
