Investor_Id,date,avg_own_dist,avg_syn_dist,status,first,IT,early,age
100105-93,2015,0.24119337543782005,0.26092905390560645,4.084583941993416,0,0,0,2
100143-46,2015,0.2597634678858917,0.15870672570706543,3.669557183304781,0,1,1,2
10020-07,2004,0.23676745703047375,0.1856562925496012,-0.6615921333174807,0,0,1,8
10020-07,2005,0.23271617701136638,0.3072517250079495,-1.271976849895995,0,0,1,9
10020-07,2007,0.21065076227743534,0.3378237036698902,0.36994455762974776,0,0,1,11
10020-07,2009,0.12968105464906637,0.07821658994377835,-0.5491785102547238,0,0,1,13
10020-07,2012,0.1279692371812631,0.0592617413270194,0.23770089976007494,0,0,0,16
10020-07,2013,0.23013803537128516,0.16955097071681288,-0.3536575332306929,0,0,0,17
10020-07,2014,0.23396570880364648,0.3833565884551979,-0.25071961468212794,0,0,0,18
10022-14,1998,0.004762622094904016,0.009166841280916141,0.4433080141052367,1,0,0,0
10022-14,1999,0.011671063839135682,0.15094211751574738,0.965704139713635,0,1,1,1
10022-14,2002,0.030517791154768104,0.09092622321926681,-3.666639832252643,0,0,0,4
10022-14,2003,0.04719718368515513,0.09300517176551974,-0.5137403807751139,0,0,0,5
10022-14,2004,0.07847763847147002,0.17207347083888486,-2.467690021531946,0,0,0,6
10022-14,2005,0.22997812729616654,0.3152746212548174,-2.650929592759285,0,0,0,7
10022-14,2007,0.12361035926989794,0.2319727153008882,-2.249014281047839,0,0,0,9
10022-14,2008,0.12855652180254057,0.1357725963145058,-2.575419760854108,0,1,0,10
10022-14,2010,0.21713119706055084,0.1169921151348877,0.7728680205429306,0,1,0,12
10022-14,2011,0.11632803158224111,0.10045994091248578,0.1560763200154346,0,1,0,13
10022-14,2012,0.2107257397651316,0.13920494928445626,-0.8143949180599921,0,1,0,14
10022-14,2013,0.23423576355188055,0.29740483950700425,-0.9063115333647878,0,1,0,15
10022-14,2014,0.21421217907302562,0.14497884339767658,0.12426076674759812,0,1,0,16
10022-14,2015,0.24334519552336845,0.18799999657717115,-0.059992885024944015,0,1,0,17
100236-79,2015,0.3611037614129608,0.6381849005711242,-0.20005867764449717,0,1,1,2
100247-86,2015,0.08251005638100388,0.39547949427042406,1.9365397879810147,1,0,1,0
100273-15,2015,0.11396419193391706,0.10647489894089796,-0.3058346850350924,1,0,1,1
100464-85,2015,0.45153220080213347,0.10291997747324386,0.023292784949647195,0,1,1,0
10052-20,1994,0,0.027192180209470167,4.250521732065617,1,1,1,0
10052-20,1999,0.21793770375492239,0.391923464222073,1.2006464220761448,0,1,1,5
10052-20,2001,0.1375844638125209,0.06569337966853626,0.3478704581279878,0,1,1,7
10052-20,2003,0.18578404375266042,0.1322593138100446,0.6848832738781814,0,1,1,9
10052-20,2004,0.16213912076663273,0.10292975870278585,-1.4188890144200315,0,1,1,10
10052-20,2005,0.1630127695302753,0.10730719472666708,0.09993272315200484,0,1,1,11
10052-20,2006,0.2183182684738387,0.10078967399102354,1.3036213709377384,0,1,0,12
10052-20,2007,0.18712371701923264,0.18457535957746932,-2.2069903875692893,0,1,0,13
10052-20,2008,0.1430133216379302,0.15680594797384417,1.7682272676342907,0,1,0,14
10052-20,2009,0.16429184051552415,0.44689047069420706,-0.0020253889532571064,0,1,0,15
10052-20,2010,0.197737497165447,0.22242835260871405,0.8766309074025964,0,1,0,16
10052-20,2011,0.18479588849304612,0.23065663809913345,0.9988319633861023,0,1,0,17
10052-20,2012,0.2026399518270963,0.2703197736821328,0.11421077523946924,0,1,0,18
10052-20,2013,0.19847787334003933,0.17030466858429194,-1.15099450846195,0,1,0,19
10052-20,2014,0.23787717265018102,0.3208079407061436,0.3044195843585895,0,1,0,20
10052-20,2015,0.27482384101895063,0.28364074423852,0.17939064582918238,0,1,0,21
100564-30,2015,0,0.41612480864180995,-0.592435320181419,0,0,1,1
10060-57,2000,0.3171488951114498,0.2798264023006213,0.03780168028794221,0,0,0,0
10068-04,2001,0.24659687237926614,0.12410812029883456,-0.143051095222129,0,1,0,4
10068-04,2003,0.20192787241165294,0.16449750147378261,0.8444689927864008,0,1,0,6
10068-04,2007,0.13239754140000726,0.14600433654148795,-1.2362005282680963,0,1,0,10
10068-04,2008,0.18514969106010593,0.18955895732284894,3.673755501112888,0,1,0,11
10068-04,2009,0.10992620361103912,0.13842421468344185,-1.179237162639133,0,1,0,12
10068-04,2010,0.2718561887005118,0.14570485966408767,1.0766319535334663,0,1,0,13
100690-93,2014,0.23768181337903654,0.19961047703070575,0.01573621124152555,0,0,1,1
10070-83,1994,0.20709094791795007,0.08549895573815555,5.3131521650820215,0,1,0,0
10070-83,1999,0.14768175191206978,0.08179657926542322,1.5649704530459674,0,0,1,5
10070-83,2000,0.13056909802801292,0.25255619356534814,-0.1888155025317111,0,1,1,6
10070-83,2001,0.10521698714635842,0.11301175133588925,0.14426895594231187,0,1,1,7
10070-83,2002,0.17121499227287626,0.15624404962520475,-0.11725957231649825,0,1,1,8
10070-83,2003,0.11809801578768182,0.17842938125840868,0.28351323085697133,0,1,0,9
10070-83,2004,0.1652317920753784,0.15524018006041823,-0.01609887223813936,0,1,0,10
10070-83,2005,0.18355301065756363,0.08351299272155915,1.1875401268194379,0,1,0,11
10070-83,2006,0.2187895511578411,0.21460232473904417,1.9721132406598318,0,1,0,12
10070-83,2007,0.1464168727135839,0.1733825340678069,0.9529313022927726,0,1,0,13
10070-83,2008,0.13220066855445953,0.22252507523172071,0.6265143818723725,0,1,0,14
10070-83,2009,0.20009602416128272,0.25791052234276796,-3.207336723592033,0,1,0,15
10070-83,2010,0.1727145167838776,0.10157663356612401,-1.8609211874107638,0,1,0,16
10070-83,2011,0.1259493954761371,0.18645907536473785,4.116089753597091,0,1,0,17
10070-83,2012,0.19822139426948956,0.2974894680983476,1.2565404904690114,0,1,0,18
10070-83,2013,0.18552141103229303,0.4038474276902459,1.0102570682629637,0,1,0,19
10070-83,2014,0.307418332221718,0.3764045222497808,0.7838832327515716,0,1,0,20
10070-83,2015,0.3210744953023883,0.19782314461117526,2.0594157328024463,0,1,0,21
10077-85,2000,0.3646328629959307,0,0.03780168028794221,1,1,1,1
10077-85,2002,0.2890784977885971,0.5495570455177735,-5.36301292800057,0,1,1,3
10077-85,2003,0.15069943981224362,0.17246910264865137,-2.509181859239035,0,1,1,4
10077-85,2004,0.17841106762306516,0.1666244067350831,0.15449952829047414,0,1,1,5
10077-85,2005,0.2323911924612152,0.21800822250746277,1.520860049605373,0,1,1,6
10077-85,2006,0.23391226379738356,0.23229783452114136,-1.8628340993519668,0,1,1,7
