Investor_Id,hhi,year
11139-04,1,1996
11141-65,1,1996
11142-19,1,1996
11142-73,1,1996
11148-04,1,1996
11151-91,1,1996
11153-98,0.28,1996
11159-74,1,1996
11160-10,1,1996
11161-36,1,1996
11162-08,1,1996
11165-50,1,1996
11165-68,1,1996
11166-58,0.5,1996
11168-92,0.5555555555555556,1996
11169-91,1,1996
11170-81,1,1996
11172-43,0.26530612244897955,1996
11173-42,1,1996
11173-60,0.6800000000000002,1996
11174-77,1,1996
11177-11,1,1996
11177-20,0.3333333333333333,1996
11179-99,1,1996
11181-43,1,1996
11184-40,1,1996
11184-49,0.3333333333333333,1996
11184-67,0.5555555555555556,1996
11190-70,1,1996
11191-96,0.21875,1996
11192-41,1,1996
11192-68,1,1996
11193-13,1,1996
11194-12,0.5,1996
11196-10,1,1996
11197-81,1,1996
11201-59,1,1996
11201-77,1,1996
11207-44,1,1996
11207-89,1,1996
11208-79,0.5,1996
11210-32,1,1996
11211-40,0.20833333333333331,1996
11213-92,1,1996
11217-25,1,1996
11219-23,0.14285714285714285,1996
11223-37,1,1996
11224-18,1,1996
11226-16,1,1996
11228-32,1,1996
11228-50,0.13599999999999998,1996
11228-95,1,1996
11229-85,1,1996
11237-50,1,1996
11237-95,0.5,1996
11241-82,1,1996
11248-21,0.3888888888888889,1996
11251-45,0.5,1996
11251-81,0.19008264462809918,1996
11252-44,1,1996
11252-80,1,1996
11258-83,0.375,1996
11261-71,0.5,1996
11261-98,1,1996
11262-52,0.5,1996
11262-88,0.375,1996
11263-42,0.375,1996
11263-51,1,1996
11265-13,0.375,1996
11267-47,1,1996
11268-55,1,1996
11274-22,0.5,1996
11275-75,1,1996
11277-37,1,1996
11280-70,1,1996
11281-06,0.5,1996
11281-24,1,1996
11283-94,1,1996
11291-32,1,1996
11293-84,1,1996
11295-73,0.1875,1996
11295-91,0.6800000000000002,1996
11296-45,1,1996
11297-98,1,1996
11300-05,0.5,1996
11300-14,1,1996
11303-56,1,1996
11304-28,0.28,1996
11308-51,0.5,1996
11308-69,0.3333333333333333,1996
11312-29,1,1996
11313-01,1,1996
11316-79,1,1996
11317-42,0.5,1996
11318-77,0.625,1996
11320-66,0.5,1996
11322-28,1,1996
11322-46,1,1996
11325-43,0.5,1996
11326-33,0.15702479338842976,1996
11327-41,1,1996
11333-26,0.3333333333333333,1996
11335-42,0.3333333333333333,1996
11338-12,1,1996
11340-01,1,1996
11851-57,0.3333333333333333,1996
11867-23,1,1996
12075-22,1,1996
12749-50,1,1996
179240-41,1,1996
25197-58,1,1996
40668-76,1,1996
40849-84,1,1996
40998-97,1,1996
41003-11,1,1996
41012-11,1,1996
41020-03,1,1996
41699-53,0.5,1996
42205-24,1,1996
42205-42,1,1996
42259-87,1,1996
42349-87,1,1996
42767-20,1,1996
42775-48,1,1996
42852-25,1,1996
42871-51,1,1996
42944-05,1,1996
43064-47,1,1996
43140-61,1,1996
44459-02,1,1996
50993-92,1,1996
51016-78,1,1996
51050-17,0.5,1996
51077-44,0.5,1996
51090-58,1,1996
51095-26,1,1996
51131-71,1,1996
51410-17,1,1996
51478-39,1,1996
51491-98,1,1996
51516-10,1,1996
51638-05,1,1996
51702-67,1,1996
51747-13,1,1996
52369-93,1,1996
52385-59,0.5555555555555556,1996
52593-04,1,1996
52744-87,1,1996
52745-05,0.5555555555555556,1996
52758-10,1,1996
52765-57,1,1996
52833-25,1,1996
52833-34,1,1996
53402-68,1,1996
54334-18,1,1996
54345-25,1,1996
55430-29,1,1996
55893-43,1,1996
56386-27,1,1996
56660-77,1,1996
58804-66,1,1996
63967-15,0.5,1996
64689-67,0.3333333333333333,1996
83336-23,1,1996
95663-89,1,1996
98783-56,1,1996
10020-07,1,1997
10052-20,0.5555555555555556,1997
10068-04,1,1997
10070-83,0.10034602076124567,1997
10133-20,1,1997
10134-73,0.20000000000000004,1997
10135-81,1,1997
10139-41,0.16444444444444445,1997
10146-16,0.625,1997
10181-17,1,1997
10241-02,0.5,1997
10271-98,0.20000000000000004,1997
10335-25,1,1997
10367-47,1,1997
10411-93,1,1997
10446-40,0.3333333333333333,1997
10521-46,0.5555555555555556,1997
10639-63,1,1997
110861-11,1,1997
11106-82,1,1997
11108-89,0.5,1997
11109-61,1,1997
11110-15,1,1997
11110-69,0.5,1997
11111-23,1,1997
11111-68,0.5,1997
11111-86,1,1997
11114-11,0.6800000000000002,1997
11115-19,1,1997
11115-28,0.6800000000000002,1997
11120-59,0.3333333333333333,1997
11121-85,0.3333333333333333,1997
11122-12,0.20000000000000004,1997
11122-48,1,1997
11124-28,1,1997
11127-25,1,1997
11127-88,0.5,1997
11128-69,1,1997
11129-23,1,1997
11129-41,1,1997
11129-59,1,1997
11131-03,0.28,1997
11132-20,0.2345679012345679,1997
11132-38,1,1997
11133-01,0.28,1997
11133-37,1,1997
11134-81,1,1997
11135-62,1,1997
11135-71,0.6800000000000002,1997
11136-61,1,1997
11137-87,1,1997
11138-68,1,1997
11139-04,1,1997
11141-65,1,1997
11142-19,0.3333333333333333,1997
11142-28,1,1997
11142-73,1,1997
11143-54,1,1997
11148-04,1,1997
11151-91,1,1997
11153-98,0.2777777777777778,1997
11157-04,1,1997
11159-74,1,1997
11160-10,1,1997
11161-36,1,1997
11162-08,1,1997
11165-50,1,1997
11165-68,1,1997
11166-58,0.5,1997
11168-92,0.5555555555555556,1997
11169-91,1,1997
11170-81,1,1997
11171-44,1,1997
11172-43,0.20833333333333337,1997
11173-42,1,1997
11173-60,0.6800000000000002,1997
11173-78,1,1997
11174-77,1,1997
11175-13,1,1997
11177-11,1,1997
11177-20,0.3333333333333333,1997
11179-99,1,1997
11181-43,1,1997
11184-40,1,1997
11184-49,0.3333333333333333,1997
11184-67,0.44000000000000006,1997
11190-70,1,1997
11191-96,0.18000000000000005,1997
11192-41,1,1997
11192-68,0.5,1997
11193-13,1,1997
11194-12,0.5,1997
11196-10,1,1997
11197-81,0.5555555555555556,1997
11201-59,0.5,1997
11201-77,1,1997
11203-21,1,1997
11205-64,1,1997
11206-54,1,1997
11207-44,1,1997
11207-89,0.3333333333333333,1997
11208-07,0.5,1997
11208-79,0.25,1997
11210-32,0.5,1997
11211-40,0.12802768166089964,1997
11213-92,0.5555555555555556,1997
11214-82,1,1997
11217-25,0.5,1997
11219-23,0.14285714285714285,1997
11220-04,1,1997
11220-22,0.3333333333333333,1997
11220-31,0.5,1997
11222-83,1,1997
11223-37,1,1997
11224-18,1,1997
11226-16,1,1997
11228-32,1,1997
11228-50,0.1403061224489796,1997
11228-95,1,1997
11229-85,1,1997
11230-93,1,1997
11234-17,1,1997
11237-50,1,1997
11237-68,1,1997
11237-95,0.25,1997
11239-12,1,1997
11239-48,1,1997
11240-47,1,1997
11241-82,1,1997
11242-18,0.5,1997
11243-89,0.5,1997
11246-68,1,1997
11247-13,1,1997
11248-21,0.3827160493827161,1997
11248-93,1,1997
11251-45,0.3333333333333333,1997
11251-81,0.15555555555555556,1997
11252-44,1,1997
11252-80,1,1997
11258-38,0.5,1997
11258-83,0.3600000000000001,1997
11261-71,0.5555555555555556,1997
11261-80,1,1997
11261-98,1,1997
11262-52,0.5,1997
11262-88,0.28,1997
11263-42,0.28,1997
11263-51,1,1997
11265-13,0.33333333333333337,1997
11265-94,1,1997
11267-47,1,1997
11268-55,1,1997
11268-82,1,1997
11271-79,1,1997
11272-78,1,1997
11274-22,0.375,1997
11275-75,1,1997
11277-37,0.5,1997
11280-70,1,1997
11281-06,0.3333333333333333,1997
11281-24,1,1997
11282-32,1,1997
11283-94,1,1997
11287-27,1,1997
11290-51,0.5,1997
11291-32,1,1997
11293-30,1,1997
11293-84,1,1997
11295-73,0.16553287981859408,1997
11295-91,0.5,1997
11296-45,1,1997
11297-98,1,1997
11298-61,1,1997
11300-05,0.5,1997
11300-14,1,1997
11300-41,1,1997
11303-38,1,1997
11303-56,0.625,1997
11303-83,1,1997
11304-28,0.3061224489795918,1997
11308-51,0.3877551020408163,1997
11308-69,0.25,1997
11312-29,0.5,1997
11313-01,1,1997
11316-79,1,1997
11317-42,0.625,1997
11318-77,0.44000000000000006,1997
11318-86,1,1997
11320-66,0.3333333333333333,1997
11322-28,0.5555555555555556,1997
11322-46,1,1997
11322-91,1,1997
11325-43,0.5,1997
11326-24,0.5,1997
11326-33,0.12244897959183673,1997
11327-41,1,1997
11328-13,1,1997
11328-49,0.5,1997
11328-67,1,1997
11328-76,1,1997
11331-37,1,1997
11331-91,1,1997
11333-26,0.3333333333333333,1997
11335-42,0.25,1997
11336-77,1,1997
11337-76,1,1997
11338-03,0.5,1997
11338-12,0.5,1997
11340-01,1,1997
11851-57,0.25,1997
11867-23,0.25,1997
12075-22,0.3333333333333333,1997
123123-88,1,1997
12604-06,1,1997
12749-50,1,1997
151294-06,1,1997
179240-41,1,1997
25197-58,1,1997
40668-76,1,1997
40849-84,0.625,1997
40995-55,1,1997
40998-97,0.5,1997
41003-11,1,1997
41009-95,1,1997
41012-11,1,1997
41020-03,1,1997
41699-53,0.5,1997
42202-18,1,1997
42205-24,1,1997
42205-42,1,1997
42259-24,1,1997
42259-87,1,1997
42348-97,1,1997
42349-87,0.5,1997
42767-02,1,1997
42767-20,0.5555555555555556,1997
42775-48,1,1997
42852-25,1,1997
42871-51,1,1997
42944-05,1,1997
43064-47,1,1997
43140-61,1,1997
44459-02,1,1997
49310-02,1,1997
50993-92,1,1997
51016-78,1,1997
51050-17,0.3333333333333333,1997
51077-44,0.5555555555555556,1997
51090-58,1,1997
51095-26,0.5,1997
51106-96,1,1997
51131-71,0.5,1997
51191-65,1,1997
51288-22,1,1997
51410-17,1,1997
51478-39,1,1997
51490-72,1,1997
51491-98,1,1997
51516-10,1,1997
51567-58,1,1997
51638-05,1,1997
51702-67,1,1997
51721-12,1,1997
51747-13,1,1997
52244-38,1,1997
52369-93,1,1997
52385-59,0.5555555555555556,1997
52593-04,1,1997
52705-81,1,1997
52744-87,1,1997
52745-05,0.5555555555555556,1997
52758-10,1,1997
52765-57,0.5,1997
52833-25,1,1997
52833-34,1,1997
53402-68,1,1997
53455-15,1,1997
53928-19,1,1997
54084-97,1,1997
54334-18,1,1997
54345-25,1,1997
55430-29,1,1997
55893-43,1,1997
56142-55,1,1997
