Investor_Id,hhi,year,status,first,IT,early,age
179240-41,1,1995,0,0,0,0,1
25197-58,1,1995,0,0,0,1,0
40849-84,1,1995,0,1,0,1,1
42205-24,1,1995,0,1,1,1,0
42205-42,1,1995,0,1,1,1,0
42349-87,1,1995,0,1,0,1,0
42767-20,1,1995,0,1,0,1,0
42871-51,1,1995,0,0,1,0,1
51090-58,1,1995,0,0,1,0,1
51410-17,1,1995,0,NA,NA,NA,0
51638-05,1,1995,0,1,0,1,0
51747-13,1,1995,0,0,0,0,2
53402-68,1,1995,0,1,0,1,0
55430-29,1,1995,0,1,1,1,0
64689-67,1,1995,0,0,0,0,0
10020-07,1,1996,0,1,0,0,0
10070-83,0.1111111111111111,1996,8.40489745378449,0,0,1,2
10134-73,0.3333333333333333,1996,0,1,0,1,0
10135-81,1,1996,0,0,1,0,0
10139-41,0.34375,1996,8.40489745378449,0,1,1,2
10146-16,1,1996,0,0,1,1,0
10271-98,0.25,1996,0,0,1,0,1
10521-46,0.5,1996,0,0,0,0,0
11108-89,0.5,1996,0,0,0,0,0
11110-15,1,1996,0,0,1,1,0
11111-68,0.625,1996,0,0,0,1,1
11114-11,1,1996,0,1,0,1,2
11115-28,0.6800000000000002,1996,0,1,0,0,3
11122-12,0.20000000000000004,1996,0,1,0,1,3
11127-88,0.5555555555555556,1996,0,0,1,0,2
11131-03,0.3333333333333333,1996,0,0,1,0,0
11132-20,0.28,1996,0,1,0,1,1
11132-38,1,1996,0,0,0,0,0
11133-01,0.5,1996,0,1,1,1,0
11133-37,1,1996,0,0,0,0,0
11135-71,1,1996,0,1,0,1,1
11136-61,1,1996,0,0,0,0,0
11141-65,1,1996,0,0,0,1,0
11142-19,1,1996,0,1,1,1,0
11142-73,1,1996,0,1,1,1,0
11148-04,1,1996,0,0,1,1,0
11153-98,0.28,1996,0,1,0,1,3
11159-74,1,1996,0,0,1,1,0
11160-10,1,1996,0,0,0,0,0
11162-08,1,1996,0,0,0,0,3
11165-50,1,1996,0,0,1,1,0
11165-68,1,1996,0,1,1,1,0
11166-58,0.5,1996,0.36771426360307147,0,1,0,1
11168-92,0.5555555555555556,1996,0,0,0,1,1
11169-91,1,1996,0,0,1,1,2
11170-81,1,1996,0,1,1,1,0
11172-43,0.26530612244897955,1996,0,1,1,1,1
11173-60,0.6800000000000002,1996,0,0,0,0,3
11174-77,1,1996,0,0,1,1,0
11184-49,0.3333333333333333,1996,0,0,0,0,3
11184-67,0.5555555555555556,1996,0,0,1,1,2
11191-96,0.21875,1996,0,1,0,1,3
11196-10,1,1996,0,1,0,1,0
11197-81,1,1996,0,1,0,1,0
11201-59,1,1996,0,1,0,0,0
11201-77,1,1996,0,1,0,1,0
11207-44,1,1996,0,0,0,0,0
11210-32,1,1996,0,1,0,0,0
11211-40,0.20833333333333331,1996,0,0,1,1,3
11213-92,1,1996,0,1,0,1,0
11217-25,1,1996,0,0,0,0,0
11219-23,0.14285714285714285,1996,0,0,1,0,2
11224-18,1,1996,0,1,1,0,0
11226-16,1,1996,0,0,1,0,0
11228-32,1,1996,0,1,0,0,0
11228-50,0.13599999999999998,1996,2.285081495247658,0,0,1,3
11229-85,1,1996,0,0,0,1,0
11237-50,1,1996,0,0,1,0,1
11241-82,1,1996,0,1,0,1,0
11248-21,0.3888888888888889,1996,0,0,1,1,1
11251-45,0.5,1996,0,1,1,0,0
11251-81,0.19008264462809918,1996,1.5759182725845917,1,0,1,3
11252-44,1,1996,0,1,0,0,0
11252-80,1,1996,0,0,0,0,0
11258-83,0.375,1996,0.18385713180153573,0,1,0,2
11261-71,0.5,1996,0,0,1,0,1
11261-98,1,1996,0,0,0,1,0
11262-52,0.5,1996,0,1,0,1,2
11262-88,0.375,1996,1.3657958362399794,0,0,0,1
11263-42,0.375,1996,0,0,0,0,2
11265-13,0.375,1996,0,1,0,1,3
11267-47,1,1996,0,1,0,0,0
11268-55,1,1996,0,0,1,0,0
11274-22,0.5,1996,0,0,0,0,0
11280-70,1,1996,0,1,0,1,0
11281-06,0.5,1996,0,0,1,0,2
11281-24,1,1996,0,0,1,0,0
11293-84,1,1996,0,1,1,1,0
11295-73,0.1875,1996,0,0,1,1,3
11295-91,0.6800000000000002,1996,0,0,1,1,2
11296-45,1,1996,0,1,0,0,0
11297-98,1,1996,0,1,0,0,0
11300-05,0.5,1996,0,1,0,0,0
11303-56,1,1996,0,0,0,0,2
11304-28,0.28,1996,3.368525307649565,0,0,0,3
11308-69,0.3333333333333333,1996,0,1,1,1,0
11312-29,1,1996,0,0,0,1,0
11313-01,1,1996,0,1,1,1,0
11316-79,1,1996,0,1,0,1,0
11320-66,0.5,1996,0,0,0,0,0
11322-46,1,1996,0,1,0,1,0
11326-33,0.15702479338842976,1996,0,1,0,1,3
11333-26,0.3333333333333333,1996,0,0,0,1,1
11335-42,0.3333333333333333,1996,0,0,1,0,2
11851-57,0.3333333333333333,1996,0,0,1,1,0
11867-23,1,1996,0,1,1,0,0
12075-22,1,1996,0,1,0,0,0
12749-50,1,1996,0,1,0,1,0
40998-97,1,1996,0,1,0,1,0
41003-11,1,1996,0,0,0,1,0
41012-11,1,1996,0,0,0,1,0
41020-03,1,1996,0,0,0,0,0
41699-53,0.5,1996,0,0,0,1,2
42775-48,1,1996,0,0,0,1,0
42852-25,1,1996,0,0,0,1,0
42944-05,1,1996,0,1,0,1,0
43064-47,1,1996,0,0,1,1,0
43140-61,1,1996,0,1,0,1,0
50993-92,1,1996,0,0,0,1,0
51016-78,1,1996,0,0,0,1,0
51050-17,0.5,1996,0,0,1,1,2
51077-44,0.5,1996,0,0,0,0,3
51095-26,1,1996,0,1,1,1,0
51478-39,1,1996,0,0,0,1,0
51491-98,1,1996,0,0,1,1,0
51516-10,1,1996,0,0,0,0,2
52385-59,0.5555555555555556,1996,0,1,1,0,0
52593-04,1,1996,0,1,0,1,0
52744-87,1,1996,0,0,0,0,0
52745-05,0.5555555555555556,1996,0,1,1,0,0
52758-10,1,1996,0,0,0,1,0
52765-57,1,1996,0,0,1,0,0
52833-25,1,1996,0,1,0,1,0
52833-34,1,1996,0,1,1,1,0
54345-25,1,1996,0,1,1,1,0
56660-77,1,1996,0,NA,NA,NA,0
58804-66,1,1996,0,1,1,1,0
64689-67,0.3333333333333333,1996,0,0,0,1,1
10020-07,1,1997,0,0,0,0,1
10052-20,0.5555555555555556,1997,7.4481682044966,1,1,1,3
10068-04,1,1997,0,0,0,0,0
10070-83,0.10034602076124567,1997,9.6494486859875,0,0,1,3
10133-20,1,1997,0,0,0,1,0
10134-73,0.20000000000000004,1997,0,1,1,1,1
10139-41,0.16444444444444445,1997,9.6494486859875,0,1,1,3
10146-16,0.625,1997,0,0,1,1,1
10271-98,0.20000000000000004,1997,0,1,1,1,2
10411-93,1,1997,0,0,0,0,0
10446-40,0.3333333333333333,1997,0,0,0,0,0
10521-46,0.5555555555555556,1997,0,0,0,0,1
110861-11,1,1997,0,0,0,1,0
11106-82,1,1997,0,0,0,1,0
11109-61,1,1997,0,0,0,1,0
11110-69,0.5,1997,0,0,1,1,0
11111-23,1,1997,0,1,1,1,0
