Investor_Id,hhi,year,status,first,IT,early,age,niche_width,mean_first,mean_early,mean_IT,mean_age,mean_status
52377-22,1,2008,0,1,0,0,0,0.3568773234200743,1,0,0,0,0
52377-22,1,2009,0,1,0,1,1,0.25678496868475986,1,0.5,0,0.5,0
52377-22,1,2011,0,1,0,0,3,0.1236476043276662,1,0.3333333333333333,0,1.3333333333333333,0
52377-49,1,2007,0,NA,NA,NA,0,0,NA,NA,NA,0,0
52378-57,1,2009,0,NA,NA,NA,0,1,NA,NA,NA,0,0
52378-66,1,2007,0,NA,NA,NA,0,1,NA,NA,NA,0,0
52378-84,1,2000,0,NA,NA,NA,0,0,NA,NA,NA,0,0
52380-64,1,2007,0,NA,NA,NA,0,0,NA,NA,NA,0,0
52382-44,1,2007,0.9619704168439517,0,0,1,0,0,0,1,0,0,0.9619704168439517
52382-44,0.5,2008,0.09497414049073284,0,0,0,1,1,0,0.5,0,0.5,0.5284722786673423
52382-44,0.375,2009,-0.6907491785588638,0,0,0,2,0.15163941201614298,0,0.3333333333333333,0,1,0.12206512625860692
52382-44,0.28,2010,1.6668376488896333,0,0,0,3,0.1371143711966745,0,0.25,0,1.5,0.5082582569163635
52382-44,0.18367346938775508,2011,1.2018847616737267,0,0,0,4,0.11708237935874433,0,0.2,0,2,0.6469835578678362
52382-98,1,2013,0,0,0,0,0,0,0,0,0,0,0
52382-98,0.5,2017,0,0,0,0,4,1,0,0,0,2,0
52383-79,1,2004,0,0,0,0,0,0,0,0,0,0,0
52383-79,0.5,2005,0,0,0,0,1,1,0,0,0,0.5,0
52383-79,0.375,2007,0,0,0,0,3,0.18922592422284856,0,0,0,1.3333333333333333,0
52383-79,0.44,2008,0,0,0,0,4,0.18462929014585974,0,0,0,2,0
52383-79,0.33333333333333337,2015,0,0,0,0,11,0.0894133400117887,0,0,0,3.8,0
52383-97,1,1999,0,0,1,1,0,0,0,1,1,0,0
52383-97,0.5,2002,0,0,0,1,3,1,0,1,0.5,1.5,0
52383-97,0.3333333333333333,2017,0.0025411986943739,0,1,1,18,0.06252269571718473,0,1,0.6666666666666666,7,8.470662314579667e-4
52384-06,1,2012,0,1,0,1,0,0.20245840891509836,1,1,0,0,0
52384-06,0.3333333333333333,2013,0,1,0,1,1,0.17246775273283746,1,1,0,0.5,0
52384-06,0.25,2014,0,1,0,1,2,0.1598614678899496,1,1,0,1,0
52384-06,0.2222222222222222,2016,-0.2867259323879473,0,0,1,4,0.13470804596432762,0.75,1,0,1.75,-0.07168148309698683
